year,state,girls_wrestling_participants
2013-14,Maryland,101
2013-14,Massachusetts,75
2013-14,Michigan,266
2013-14,Minnesota,0
2013-14,Mississippi,0
2013-14,Missouri,0
2013-14,Montana,12
2013-14,Nebraska,89
2013-14,Nevada,0
2013-14,New Hampshire,17
2013-14,New Jersey,83
2013-14,New Mexico,64
2013-14,New York,25
2013-14,North Carolina,0
2013-14,North Dakota,9
2013-14,Ohio,125
2013-14,Oklahoma,4
2013-14,Oregon,136
2013-14,Pennsylvania,0
2013-14,Rhode Island,8
2013-14,South Carolina,0
2013-14,South Dakota,15
2013-14,Tennessee,0
2013-14,Texas,3745
2013-14,Utah,8
2013-14,Vermont,8
2013-14,Virginia,87
2013-14,Washington,1123
2013-14,West Virginia,8
2013-14,Wisconsin,0
2013-14,Wyoming,17
2014-15,Alabama,0
2014-15,Alaska,194
2014-15,Arizona,193
2014-15,Arkansas,28
2014-15,California,2747
2014-15,Colorado,85
2014-15,Connecticut,87
2014-15,Delaware,12
2014-15,District of Columbia,0
2014-15,Florida,239
2014-15,Georgia,178
2014-15,Hawaii,498
2014-15,Idaho,26
2014-15,Illinois,0
2014-15,Indiana,0
2014-15,Iowa,55
2014-15,Kansas,77
2014-15,Kentucky,29
2014-15,Louisiana,0
2014-15,Maine,74
2014-15,Maryland,87
2014-15,Massachusetts,86
2014-15,Michigan,593
2014-15,Minnesota,0
2014-15,Mississippi,0
2014-15,Missouri,0
2014-15,Montana,17
2014-15,Nebraska,130
2014-15,Nevada,0
2014-15,New Hampshire,13
2014-15,New Jersey,95
2014-15,New Mexico,75
2014-15,New York,25
2014-15,North Carolina,0
2014-15,North Dakota,6
2014-15,Ohio,195
2014-15,Oklahoma,4
2014-15,Oregon,128
2014-15,Pennsylvania,0
2014-15,Rhode Island,18
2014-15,South Carolina,0
2014-15,South Dakota,31
2014-15,Tennessee,170
2014-15,Texas,3977
2014-15,Utah,14
2014-15,Vermont,1
2014-15,Virginia,79
2014-15,Washington,1210
2014-15,West Virginia,8
2014-15,Wisconsin,0
2014-15,Wyoming,7
2015-16,Alabama,0
2015-16,Alaska,200
2015-16,Arizona,255
2015-16,Arkansas,27
2015-16,California,4104
2015-16,Colorado,180
2015-16,Connecticut,75
2015-16,Delaware,13
2015-16,District of Columbia,0
2015-16,Florida,295
2015-16,Georgia,151
2015-16,Hawaii,538
2015-16,Idaho,4
2015-16,Illinois,0
2015-16,Indiana,0
2015-16,Iowa,67
2015-16,Kansas,11
2015-16,Kentucky,33
2015-16,Louisiana,0
2015-16,Maine,89
2015-16,Maryland,128
2015-16,Massachusetts,154
2015-16,Michigan,205
2015-16,Minnesota,19
2015-16,Mississippi,0
2015-16,Missouri,0
2015-16,Montana,22
2015-16,Nebraska,144
2015-16,Nevada,0
2015-16,New Hampshire,14
2015-16,New Jersey,173
2015-16,New Mexico,68
2015-16,New York,260
2015-16,North Carolina,0
2015-16,North Dakota,14
2015-16,Ohio,195
2015-16,Oklahoma,48
2015-16,Oregon,222
2015-16,Pennsylvania,0
2015-16,Rhode Island,18
2015-16,South Carolina,0
2015-16,South Dakota,73
2015-16,Tennessee,173
2015-16,Texas,4013
2015-16,Utah,26
2015-16,Vermont,11
2015-16,Virginia,137
2015-16,Washington,1184
2015-16,West Virginia,3
2015-16,Wisconsin,0
2015-16,Wyoming,13
2016-17,Alabama,0
2016-17,Alaska,271
2016-17,Arizona,243
2016-17,Arkansas,54
2016-17,California,4505
2016-17,Colorado,164
2016-17,Connecticut,80
2016-17,Delaware,12
2016-17,District of Columbia,0
2016-17,Florida,358
2016-17,Georgia,173
2016-17,Hawaii,562
2016-17,Idaho,40
2016-17,Illinois,0
2016-17,Indiana,0
2016-17,Iowa,99
2016-17,Kansas,112
2016-17,Kentucky,52
2016-17,Louisiana,20
2016-17,Maine,61
2016-17,Maryland,152
2016-17,Massachusetts,103
2016-17,Michigan,243
2016-17,Minnesota,19
2016-17,Mississippi,0
2016-17,Missouri,0
2016-17,Montana,24
2016-17,Nebraska,131
2016-17,Nevada,0
2016-17,New Hampshire,19
2016-17,New Jersey,116
2016-17,New Mexico,91
2016-17,New York,0
2016-17,North Carolina,0
2016-17,North Dakota,24
2016-17,Ohio,195
2016-17,Oklahoma,72
2016-17,Oregon,348
2016-17,Pennsylvania,0
2016-17,Rhode Island,22
2016-17,South Carolina,0
2016-17,South Dakota,39
2016-17,Tennessee,294
2016-17,Texas,4140
2016-17,Utah,55
2016-17,Vermont,9
2016-17,Virginia,159
2016-17,Washington,1514
2016-17,West Virginia,0
2016-17,Wisconsin,0
2016-17,Wyoming,12
2017-18,Alabama,0
2017-18,Alaska,337
2017-18,Arizona,295
2017-18,Arkansas,51
2017-18,California,5286
2017-18,Colorado,0
2017-18,Connecticut,98
2017-18,Delaware,25
2017-18,District of Columbia,0
2017-18,Florida,0
2017-18,Georgia,239
2017-18,Hawaii,592
2017-18,Idaho,3
2017-18,Illinois,0
2017-18,Indiana,217
2017-18,Iowa,210
2017-18,Kansas,0
2017-18,Kentucky,0
2017-18,Louisiana,16
2017-18,Maine,74
2017-18,Maryland,146
2017-18,Massachusetts,103
2017-18,Michigan,376
2017-18,Minnesota,20
2017-18,Mississippi,0
2017-18,Missouri,0
2017-18,Montana,32
2017-18,Nebraska,1
2017-18,Nevada,0
2017-18,New Hampshire,34
2017-18,New Jersey,129
2017-18,New Mexico,136
2017-18,New York,0
2017-18,North Carolina,0
2017-18,North Dakota,20
2017-18,Ohio,0
2017-18,Oklahoma,92
2017-18,Oregon,498
2017-18,Pennsylvania,0
2017-18,Rhode Island,20
2017-18,South Carolina,0
2017-18,South Dakota,35
2017-18,Tennessee,313
2017-18,Texas,3869
2017-18,Utah,0
2017-18,Vermont,3
2017-18,Virginia,246
2017-18,Washington,1222
2017-18,West Virginia,0
2017-18,Wisconsin,0
2017-18,Wyoming,20
2018-19,Alabama,0
2018-19,Alaska,347
2018-19,Arizona,481
2018-19,Arkansas,54
2018-19,California,6014
2018-19,Colorado,140
2018-19,Connecticut,131
2018-19,Delaware,11
2018-19,Dist. of Columbia,7
2018-19,Florida,475
2018-19,Georgia,427
2018-19,Hawaii,620
2018-19,Idaho,112
2018-19,Illinois,676
2018-19,Indiana,259
2018-19,Iowa,204
2018-19,Kansas,276
2018-19,Kentucky,123
2018-19,Louisiana,16
2018-19,Maine,78
2018-19,Maryland,199
2018-19,Massachusetts,126
2018-19,Michigan,327
2018-19,Minnesota,20
2018-19,Mississippi,0
2018-19,Missouri,956
2018-19,Montana,40
2018-19,Nebraska,168
